title,price,address,latitude,longitude,guests,type,url
"1-к. квартира, 33 м², 2 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 187",51.51676178,104.1482544,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_7783661545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 32,8 м², 2 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 167",51.522456,104.145626,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_328_m_2_krovati_7887654378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 32 м², 2 кровати",3100,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 159",51.52074321035491,104.15515503512934,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_4655771974?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"Квартира-студия, 30 м², 2 кровати",4025,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 33",51.51720428,104.1471634,3,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_30_m_2_krovati_7499496802?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 32 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Южный, 4-й квартал, 22",51.51222992,104.1433716,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_4404306735?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"3-к. квартира, 66 м², 5 кроватей",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Школьный пер., 11",51.52260208,104.1296539,5,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_66_m_5_krovatey_7881659865?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 58 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 12",51.52231216,104.1532516,4,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_58_m_2_krovati_4071946140?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 54 м², 3 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Школьный пер., 10А",51.52255095002772,104.13058406738878,6,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_54_m_3_krovati_7800902814?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 38 м², 2 кровати",4120,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 192",51.516774,104.152866,4,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_38_m_2_krovati_2315937659?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 33 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 193",51.517132,104.153647,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_2677562370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
