title,price,address,latitude,longitude,guests,type,url
"1-к. квартира, 36 м², 1 кровать",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 188",51.5162035331891,104.149126684338,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_36_m_1_krovat_2282192483?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 60 м², 4 кровати",4500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 9",51.52284393684328,104.1554503726035,2,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_60_m_4_krovati_7922231239?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 34 м², 2 кровати",4500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 203",51.51963806,104.1566925,1,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_34_m_2_krovati_7542083187?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 31 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Южный, 2-й квартал, 46",51.507138,104.141619,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_31_m_2_krovati_2073809835?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 50 м², 5 кроватей",2400,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 201",51.519867,104.155651,2,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_50_m_5_krovatey_2752423394?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 36,6 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 189",51.516185,104.149758,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_366_m_2_krovati_2693233383?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33,2 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 188",51.516275,104.149102,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_332_m_2_krovati_2825997591?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 58 м², 3/3 эт.",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 191",51.51711380291269,104.15144559790328,6,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_58_m_33_et._7818548605?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 50,2 м², 4 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 185",51.516914,104.148949,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_502_m_4_krovati_1341926200?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 193",51.517132,104.153647,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_2677562370?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"3-к. квартира, 60 м², 4 кровати",5000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 148",51.52135849,104.1545486,2,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_60_m_4_krovati_7824477218?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 32 м², 2 кровати",2300,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 159",51.52074321035491,104.15515503512934,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_4655771974?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 31 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 148",51.521358,104.154654,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_31_m_2_krovati_1963912271?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 48 м², 3 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 11",51.52239564262939,104.15254154452957,6,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_48_m_3_krovati_7927299964?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 30 м², 2 кровати",4025,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 33",51.51720428,104.1471634,1,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_30_m_2_krovati_7499496802?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 31 м², 2 кровати",2000,,51.5209845207142,104.15028924581,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_31_m_2_krovati_2072984987?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 38 м², 2 кровати",4120,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 192",51.516774,104.152866,2,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_38_m_2_krovati_2315937659?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 32 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 29",51.52054596,104.1482925,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_4504987911?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 50 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Южный, 3-й квартал, 7",51.509868,104.145617,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_50_m_2_krovati_483263816?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 34 м², 2 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 182",51.517654,104.149866,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_34_m_2_krovati_7908577300?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 49,8 м², 4 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 182",51.517654,104.149866,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_498_m_4_krovati_2314550841?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
